customer_id,age,registration_date,segment,email,city
1001,28,2023-01-15,Regular,customer1@email.com,New York
1002,35,2023-01-20,Premium,customer2@email.com,Los Angeles
1003,42,2023-02-01,Regular,customer3@email.com,Chicago
1004,,2023-02-10,Regular,customer4@email.com,Houston
1005,29,2023-02-15,Premium,customer5@email.com,Phoenix
1006,31,2023-03-01,VIP,customer6@email.com,Philadelphia
1007,45,2023-03-05,Regular,customer7@email.com,San Antonio
1008,38,2023-03-10,Premium,customer8@email.com,San Diego
1009,26,2023-03-15,Regular,customer9@email.com,Dallas
1010,,2023-03-20,Premium,customer10@email.com,San Jose
1011,33,2023-04-01,VIP,customer11@email.com,Austin
1012,41,2023-04-05,Regular,customer12@email.com,Jacksonville
1013,27,2023-04-10,Premium,customer13@email.com,Fort Worth
1014,36,2023-04-15,Regular,customer14@email.com,Columbus
1015,30,2023-04-20,Premium,customer15@email.com,Charlotte
1016,44,2023-05-01,VIP,customer16@email.com,Indianapolis
1017,32,2023-05-05,Regular,customer17@email.com,Seattle
1018,39,2023-05-10,Premium,customer18@email.com,Denver
1019,25,2023-05-15,Regular,customer19@email.com,Washington
1020,37,2023-05-20,Premium,customer20@email.com,Boston
